id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1339085567250886656,1339085567250886656,2020-12-16 00:50:52 EST,2020-12-16,00:50:52,-0500,932028324213338112,screechnstocks,BuylowSellScreech,,$VRAY $GROW $ORGO $SNR $HNNA $BUR $NAVI charts,und,[],[],[],0,0,0,[],"['vray', 'grow', 'orgo', 'snr', 'hnna', 'bur', 'navi']",https://twitter.com/ScreechNStocks/status/1339085567250886656,False,,0,,,,,,,,[],,,,
1338599356941930498,1338599356941930498,2020-12-14 16:38:51 EST,2020-12-14,16:38:51,-0500,322732182,mathan23,Mathan,,Inside Day List 1 $AB $ADT $AEL/PA $AFI $AJRD $ALG $AMX $ASIX $ASR $BBDC $BBDO $BBF $BBU $BBW $BC/PA $BE $BGX $BILL $BLW $BNY $BOOT $BORR $BSL $BUR $BZM $CACI $CANG $CBH $CCEP $CCM $CIA $CIG $CLII $CLNY/PJ $CMS/PB $CO $CODI $CPRI $CRD/A $CSD $CTB $CTBB $CTS $CX $CXP $DCO $DDT,in,[],[],[],0,0,2,[],"['ab', 'adt', 'ael', 'afi', 'ajrd', 'alg', 'amx', 'asix', 'asr', 'bbdc', 'bbdo', 'bbf', 'bbu', 'bbw', 'bc', 'be', 'bgx', 'bill', 'blw', 'bny', 'boot', 'borr', 'bsl', 'bur', 'bzm', 'caci', 'cang', 'cbh', 'ccep', 'ccm', 'cia', 'cig', 'clii', 'clny', 'cms', 'co', 'codi', 'cpri', 'crd', 'csd', 'ctb', 'ctbb', 'cts', 'cx', 'cxp', 'dco', 'ddt']",https://twitter.com/mathan23/status/1338599356941930498,False,,0,,,,,,,,[],,,,
1335705797083488262,1335705797083488262,2020-12-06 17:00:52 EST,2020-12-06,17:00:52,-0500,1123292114824175617,davidb50970650,DavidB,,Ma semaine de trading n°7  $ALNLF - $ALENE - $ALESK - $BUR - $ERA - $HIPAY - $SOF - $ALVER   $SPCE - $AMD - $MRNA - $STNE - $AXTI   Cadrages seulement - Orienté trendfollowing  #FaitesVosPlans  Bonne lecture et bonne semaine !   https://t.co/N2MhIwmv5h,fr,[],['https://drive.google.com/file/d/1B4q9krNcWQwLdKwLda96dT6Z1tzDn0yT/view?usp=sharing'],[],24,13,147,['faitesvosplans'],"['alnlf', 'alene', 'alesk', 'bur', 'era', 'hipay', 'sof', 'alver', 'spce', 'amd', 'mrna', 'stne', 'axti']",https://twitter.com/DavidB50970650/status/1335705797083488262,False,,0,,,,,,,,[],,,,
1334244969431724032,1334244969431724032,2020-12-02 16:16:04 EST,2020-12-02,16:16:04,-0500,121158213,alerttrade,"Trade Alerts, Trade Ideas and Crypto 🇺🇸",,REVERSALtoDOWN: $BUR Burford Capital Limited  https://t.co/keJX16viKX 📉 🔜 TradeIdeas via ⟶  https://t.co/ZgCyz4rX3x,en,[],"['http://dlvr.it/Rmsntr', 'http://lddy.no/m67j']",[],0,0,0,[],['bur'],https://twitter.com/AlertTrade/status/1334244969431724032,False,,0,,,,,,,,[],,,,
1334238744753401859,1334238744753401859,2020-12-02 15:51:20 EST,2020-12-02,15:51:20,-0500,4018669575,uylenal,AlexU,,Oligarch’s Son Says He Lacks Cash to Fight His Mother in U.K.’s Largest Divorce  $BUR  https://t.co/rEAp8KoIAK,en,[],['https://www.bloomberg.com/news/articles/2020-12-02/oligarch-s-son-says-he-lacks-cash-to-fight-mom-in-record-divorce'],[],0,0,1,[],['bur'],https://twitter.com/uylenal/status/1334238744753401859,False,,0,,,,,,,,[],,,,
1334157708006739971,1334157708006739971,2020-12-02 10:29:19 EST,2020-12-02,10:29:19,-0500,2422703600,swingtradebot,SwingTradeBot,,20 DMA Support today: $PLUG $RARE $BRN $UUU $PDD $VICI $ETTX $BFAM $MLHR $RUN $FIX $BFT $CAR $EZA $BCEI $DLX $CSIQ $ENDP $BXRX $BUR ...  https://t.co/deOpbNqdR6,en,[],['https://swingtradebot.com/alerts/34-20-dma-support'],[],0,0,0,[],"['plug', 'rare', 'brn', 'uuu', 'pdd', 'vici', 'ettx', 'bfam', 'mlhr', 'run', 'fix', 'bft', 'car', 'eza', 'bcei', 'dlx', 'csiq', 'endp', 'bxrx', 'bur']",https://twitter.com/SwingTradeBot/status/1334157708006739971,False,,0,,,,,,,,[],,,,
1334057594567217154,1334057594567217154,2020-12-02 03:51:30 EST,2020-12-02,03:51:30,-0500,2782576734,valuetom84,Happy,,Argentinean Article with some info on what's happening in Burford's huge Petersen case (Use Google Translate) $BUR  https://t.co/J3ITYHpDoK,en,[],['https://www.lanacion.com.ar/economia/juicios-ypf-justicia-norteamericana-llamo-declarar-eskenazi-nid2520536'],[],0,0,4,[],['bur'],https://twitter.com/ValueTom84/status/1334057594567217154,False,,0,,,,,,,,[],,,,
1334054595757289602,1334054595757289602,2020-12-02 03:39:35 EST,2020-12-02,03:39:35,-0500,2782576734,valuetom84,Happy,,"Big Burford case in court this week Burford is financing Tatiana Akhmedova. The ex-husband claimed they got divorced in Russia many years ago, but the documents later turned out to be forged. $BUR  https://t.co/7apqhHqIcs",en,[],['https://www.theguardian.com/news/2020/nov/28/most-expensive-family-feud-in-history-to-take-the-stage-at-london-court'],[],0,0,3,[],['bur'],https://twitter.com/ValueTom84/status/1334054595757289602,False,,0,,,,,,,,[],,,,
1333811776077631489,1333811776077631489,2020-12-01 11:34:43 EST,2020-12-01,11:34:43,-0500,2422703600,swingtradebot,SwingTradeBot,,Rose Above Previous Day's High today: $CGBD $AGNC $AENZ $HOLX $BGH $BFK $BGX $BCX $BLX $NVST $IBKR $MCN $BFS $BOE $BGY $BIO $VGR $BQ $BUR $CII ...  https://t.co/TBYRpvrFqi,und,[],['https://swingtradebot.com/alerts/42-rose-above-previous-day-s-high'],[],0,0,0,[],"['cgbd', 'agnc', 'aenz', 'holx', 'bgh', 'bfk', 'bgx', 'bcx', 'blx', 'nvst', 'ibkr', 'mcn', 'bfs', 'boe', 'bgy', 'bio', 'vgr', 'bq', 'bur', 'cii']",https://twitter.com/SwingTradeBot/status/1333811776077631489,False,,0,,,,,,,,[],,,,
1333704519784468481,1333704519784468481,2020-12-01 04:28:31 EST,2020-12-01,04:28:31,-0500,2782576734,valuetom84,Happy,,"Great writeup on Burford (from Apr 2020) Explains the opportunity, the economics and why concerns over their accounting were misplaced etc $BUR  https://t.co/KOk1CUiHBR",en,[],['https://www.valueinvestorsclub.com/idea/Burford_Capital/3369259114'],[],2,1,7,[],['bur'],https://twitter.com/ValueTom84/status/1333704519784468481,False,,0,,,,,,,,[],,,,
1332353476987416579,1332353476987416579,2020-11-27 10:59:57 EST,2020-11-27,10:59:57,-0500,1060108061937991681,passionateforb1,passionforbanking,,"So sorry $bur , it was a good long ride. Best decision I made was to cash out a week ago and pump into $tsla and $mrna . Both shares are madd now! Might join $bur #bur again in the future. It’s a promising company for long term!",en,[],[],[],0,0,0,['bur'],"['bur', 'tsla', 'mrna', 'bur']",https://twitter.com/passionateforb1/status/1332353476987416579,False,,0,,,,,,,,[],,,,
1331494963079753735,1331494963079753735,2020-11-25 02:08:31 EST,2020-11-25,02:08:31,-0500,371333260,value_invest12,Value Investigator,,Agree on $BUR,et,[],[],[],0,0,0,[],['bur'],https://twitter.com/value_invest12/status/1331494963079753735,False,https://twitter.com/ruima/status/1331151916659687426,0,,,,,,,,[],,,,
1329845240551911425,1329845240551911425,2020-11-20 12:53:07 EST,2020-11-20,12:53:07,-0500,2422703600,swingtradebot,SwingTradeBot,,Rose Above Upper Bollinger Band today: $CBMB $CDMOP $CKH $COE $CREG $CRDF $ESBK $ESP $ADMS $GBR $GRSV $BUR ...  https://t.co/AyIukUGmib,en,[],['https://swingtradebot.com/alerts/23-rose-above-upper-bollinger-band'],[],0,0,1,[],"['cbmb', 'cdmop', 'ckh', 'coe', 'creg', 'crdf', 'esbk', 'esp', 'adms', 'gbr', 'grsv', 'bur']",https://twitter.com/SwingTradeBot/status/1329845240551911425,False,,0,,,,,,,,[],,,,
1329720767286796290,1329720767286796290,2020-11-20 04:38:30 EST,2020-11-20,04:38:30,-0500,2782576734,valuetom84,Happy,,Burford latest developments:  - Argentina changes their lawfirm even though they are in midst of discovery. - Judge Preska grants 90-day extension for discovery. $BUR h/t @SebastianMaril   https://t.co/W5yOCTzO8S,en,"[{'screen_name': 'sebastianmaril', 'name': 'sebastian maril', 'id': '533161931'}]",['https://www.lanacion.com.ar/economia/revuelo-ypf-fondo-demanda-contrato-abogados-defienden-nid2506640'],[],1,1,10,[],['bur'],https://twitter.com/ValueTom84/status/1329720767286796290,False,,0,,,,,,,,[],,,,
1329481965159002113,1329481965159002113,2020-11-19 12:49:35 EST,2020-11-19,12:49:35,-0500,2422703600,swingtradebot,SwingTradeBot,,Rose Above Previous Day's High today: $BSE $BSMX $CNFRL $ARWR $BVH $BYM $BZM $CALB $GDEN $CDR $MPWR $EDD $SHM $IRMD $CATC $CEV $CFFI $FIS $BUR $CREG ...  https://t.co/TBYRpvrFqi,en,[],['https://swingtradebot.com/alerts/42-rose-above-previous-day-s-high'],[],0,0,1,[],"['bse', 'bsmx', 'cnfrl', 'arwr', 'bvh', 'bym', 'bzm', 'calb', 'gden', 'cdr', 'mpwr', 'edd', 'shm', 'irmd', 'catc', 'cev', 'cffi', 'fis', 'bur', 'creg']",https://twitter.com/SwingTradeBot/status/1329481965159002113,False,,0,,,,,,,,[],,,,
1329320800734879744,1329320800734879744,2020-11-19 02:09:11 EST,2020-11-19,02:09:11,-0500,366710443,tradechieftain,Tradechief,,"$BUR is a good setup, breakout / momentum, solid fundamentals, uncorrelated asset, no resistance till $15 range",en,[],[],[],0,1,0,[],['bur'],https://twitter.com/tradechieftain/status/1329320800734879744,False,,0,,,,,,,,[],,,,
1329220534400331777,1329220534400331777,2020-11-18 19:30:45 EST,2020-11-18,19:30:45,-0500,3845014336,_inpractise,In Practise,,UPCOMING INTERVIEW: Investment Manager at Omni Bridgeway.   Largest public competitor to Burford Capital   What questions shall we ask?  $OBL.AX $BUR,en,[],[],[],3,1,8,[],"['obl.ax', 'bur']",https://twitter.com/_inpractise/status/1329220534400331777,False,,0,,,,,,,,[],,,,
